id;cod;tree_parent;metacategory;display;name_es;name_gl;name_en
21;AIEDU;2;0;1;"Vic. Formación e Innovación Educativa (Anterior 2010)";"Vic. Formación e Innovación Educativa (Anterior 2010)";"Vic. Formación e Innovación Educativa (Anterior 2010)"
22;AICULT;2;0;1;"Vic. Extensión Cultural y Estudiantes (Anterior 2010)";"Vic. Extensión Cultural y Estudiantes (Anterior 2010)";"Vic. Extensión Cultural y Estudiantes (Anterior 2010)"
23;APPCENTERS;1;0;1;"Centros y titulaciones";"Centros y titulaciones";"Centros y titulaciones"
24;ACVIGO;23;0;1;"Vigo";"Vigo";"Vigo"
25;ACVTELECO;24;0;1;"Escola de Enxeñaría de Telecomunicación";"Escola de Enxeñaría de Telecomunicación";"Escola de Enxeñaría de Telecomunicación"
26;ACVTGETT;25;0;1;"Grao en Enxeñaría de Tecnoloxías de Telecomunicación";"Grao en Enxeñaría de Tecnoloxías de Telecomunicación";"Grao en Enxeñaría de Tecnoloxías de Telecomunicación"
27;ACVINDUSTRIAL;24;0;1;"Escola de Enxeñaría Industrial";"Escola de Enxeñaría Industrial";"Escola de Enxeñaría Industrial"
28;ACVIITI;27;0;1;"Ingeniería en Tecnologías Industriales";"Ingeniería en Tecnologías Industriales";"Ingeniería en Tecnologías Industriales"
29;ACVIIE;27;0;1;"Ingeniería Eléctrica";"Ingeniería Eléctrica";"Ingeniería Eléctrica"
30;ACVIIEIA;27;0;1;"Ingeniería en Electrónica Industrial y Automática";"Ingeniería en Electrónica Industrial y Automática";"Ingeniería en Electrónica Industrial y Automática"
31;ACVIIM;27;0;1;"Ingeniería Mecánica";"Ingeniería Mecánica";"Ingeniería Mecánica"
32;ACVIIOI;27;0;1;"Ingeniería Organización Industrial";"Ingeniería Organización Industrial";"Ingeniería Organización Industrial"
33;ACVIIQI;27;0;1;"Ingeniería Química Industrial";"Ingeniería Química Industrial";"Ingeniería Química Industrial"
34;ACVBIO;24;0;1;"Facultade de Bioloxía";"Facultade de Bioloxía";"Facultade de Bioloxía"
35;ACVBGB;34;0;1;"Grao en Bioloxía";"Grao en Bioloxía";"Grao en Bioloxía"
36;ACVCIENCIASMAR;24;0;1;"Facultade de Ciencias do Mar";"Facultade de Ciencias do Mar";"Facultade de Ciencias do Mar"
37;ACVCMGCM;36;0;1;"Grao en Ciencias do Mar";"Grao en Ciencias do Mar";"Grao en Ciencias do Mar"
38;ACVFQ;24;0;1;"Facultade de Química";"Facultade de Química";"Facultade de Química"
39;ACVFQGQ;38;0;1;"Grao en Química";"Grao en Química";"Grao en Química"
40;ACVFCEE;24;0;1;"Facultade de Ciencias Económicas e Empresariais";"Facultade de Ciencias Económicas e Empresariais";"Facultade de Ciencias Económicas e Empresariais"
41;ACVFCEEGE;40;0;1;"Grao en Economía";"Grao en Economía";"Grao en Economía"
42;ACVFCEEGADE;40;0;1;"Grao en Administración e Dirección de Empresas";"Grao en Administración e Dirección de Empresas";"Grao en Administración e Dirección de Empresas"
43;ACVETSEM;24;0;1;"ETS de Enxeñaría de Minas";"ETS de Enxeñaría de Minas";"ETS de Enxeñaría de Minas"
44;ACVETSEMGEE;43;0;1;"Grao en Enxeñaría da Enerxía";"Grao en Enxeñaría da Enerxía";"Grao en Enxeñaría da Enerxía"
45;ACVETSEMGERME;43;0;1;"Grao en Enxeñaría dos Recursos Mineiros e Enerxéticos";"Grao en Enxeñaría dos Recursos Mineiros e Enerxéticos";"Grao en Enxeñaría dos Recursos Mineiros e Enerxéticos"
46;ACVFCXT;24;0;1;"Facultade de Ciencias Xurídicas e do Traballo";"Facultade de Ciencias Xurídicas e do Traballo";"Facultade de Ciencias Xurídicas e do Traballo"
47;ACVFCXTGD;46;0;1;"Grao en Dereito";"Grao en Dereito";"Grao en Dereito"
48;ACVFCXTGRLRH;46;0;1;"Grao en Relacións Laborais e Recursos Humanos";"Grao en Relacións Laborais e Recursos Humanos";"Grao en Relacións Laborais e Recursos Humanos"
49;ACVFFT;24;0;1;"Facultade de Filoloxía e Tradución";"Facultade de Filoloxía e Tradución";"Facultade de Filoloxía e Tradución"
50;ACVFFTGEGE;49;0;1;"Grao en estudos de Galego e Español";"Grao en estudos de Galego e Español";"Grao en estudos de Galego e Español"
51;ACVFFTGLE;49;0;1;"Grao en Linguas Estranxeiras";"Grao en Linguas Estranxeiras";"Grao en Linguas Estranxeiras"
52;ACVFFTGTI;49;0;1;"Grao en Tradución e Interpretación";"Grao en Tradución e Interpretación";"Grao en Tradución e Interpretación"
